# TypeScript no-regression baseline
# Format: <count>	<normalized diagnostic key>
# Key: <file> :: <TS code> :: <message> (line/column stripped)
1	utils/conversationRecovery.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
2	utils/conversationRecovery.ts :: TS2352 :: Conversion of type '{ attachment: { type: string; displayPath: string; }; uuid?: string; parentUuid?: string; sessionId?: string; timestamp?: number | string; type: "attachment"; subtype?: string; message: MessagePayload; ... 4 more ...; toolUseResult?: unknown; }' to type 'SerializedMessage' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
2	utils/conversationRecovery.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	utils/cronScheduler.ts :: TS2322 :: Type 'number' is not assignable to type 'never'.
1	utils/cronScheduler.ts :: TS2339 :: Property 'length' does not exist on type 'never'.
1	utils/cronScheduler.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type 'number'.
1	utils/dxt/helpers.ts :: TS2339 :: Property 'join' does not exist on type 'unknown'.
1	utils/dxt/helpers.ts :: TS2339 :: Property 'McpbManifestSchema' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/node_modules/@anthropic-ai/mcpb/dist/index")'.
1	utils/dxt/helpers.ts :: TS2724 :: '"@anthropic-ai/mcpb"' has no exported member named 'McpbManifest'. Did you mean 'McpbManifestAny'?
1	utils/effort.ts :: TS2304 :: Cannot find name 'getAntModelOverrideConfig'.
2	utils/effort.ts :: TS2304 :: Cannot find name 'resolveAntModel'.
2	utils/effort.ts :: TS2322 :: Type '"max"' is not assignable to type 'EffortLevel'.
1	utils/effort.ts :: TS2345 :: Argument of type '"low" | "medium" | "high" | "max"' is not assignable to parameter of type 'EffortValue'.
1	utils/effort.ts :: TS2367 :: This comparison appears to be unintentional because the types 'EffortValue' and '"max"' have no overlap.
1	utils/effort.ts :: TS2367 :: This comparison appears to be unintentional because the types 'number' and 'string' have no overlap.
1	utils/effort.ts :: TS2678 :: Type '"max"' is not comparable to type 'EffortLevel'.
1	utils/execFileNoThrowPortable.ts :: TS2769 :: No overload matches this call.
3	utils/fileHistory.ts :: TS2550 :: Property 'findLast' does not exist on type 'FileHistorySnapshot[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	utils/filePersistence/filePersistence.ts :: TS2339 :: Property 'error' does not exist on type 'UploadResult'.
1	utils/filePersistence/outputsScanner.ts :: TS2322 :: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
1	utils/filePersistence/outputsScanner.ts :: TS2345 :: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
2	utils/forkedAgent.ts :: TS2322 :: Type 'string' is not assignable to type '`${string}-${string}-${string}-${string}-${string}`'.
1	utils/forkedAgent.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	utils/forkedAgent.ts :: TS2339 :: Property 'usage' does not exist on type 'unknown'.
1	utils/forkedAgent.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	utils/forkedAgent.ts :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"' and '"stream_request_start"' have no overlap.
1	utils/generators.ts :: TS2322 :: Type 'void | Awaited<A>' is not assignable to type 'Awaited<A>'.
3	utils/groupToolUses.ts :: TS2315 :: Type 'NormalizedAssistantMessage' is not generic.
1	utils/groupToolUses.ts :: TS2322 :: Type '{ type: "grouped_tool_use"; toolName: string; messages: any[]; results: UserMessage[]; displayMessage: any; uuid: string; timestamp: any; messageId: string; }' is not assignable to type 'GroupedToolUseMessage'.
1	utils/groupToolUses.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	utils/groupToolUses.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
1	utils/groupToolUses.ts :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
1	utils/groupToolUses.ts :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
2	utils/groupToolUses.ts :: TS2339 :: Property 'tool_use_id' does not exist on type 'string | MessageContentBlock'.
2	utils/groupToolUses.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	utils/handlePromptSubmit.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
2	utils/handlePromptSubmit.ts :: TS2503 :: Cannot find namespace 'React'.
1	utils/hooks.ts :: TS2322 :: Type '"progress"' is not assignable to type '"hook_result"'.
1	utils/hooks.ts :: TS2322 :: Type '({ command: string; succeeded: boolean; output: any; blocked: boolean; watchPaths?: undefined; systemMessage?: undefined; } | { command: string; succeeded: boolean; output: string; blocked: boolean; watchPaths: unknown; systemMessage: unknown; })[]' is not assignable to type 'HookOutsideReplResult[]'.
1	utils/hooks.ts :: TS2322 :: Type 'AttachmentMessage | HookResultMessage' is not assignable to type 'HookResultMessage'.
13	utils/hooks.ts :: TS2322 :: Type 'AttachmentMessage' is not assignable to type 'HookResultMessage'.
2	utils/hooks.ts :: TS2322 :: Type 'unknown' is not assignable to type 'object'.
84	utils/hooks.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
6	utils/hooks.ts :: TS2339 :: Property 'action' does not exist on type 'unknown'.
7	utils/hooks.ts :: TS2339 :: Property 'additionalContext' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'command' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'content' does not exist on type 'unknown'.
4	utils/hooks.ts :: TS2339 :: Property 'decision' does not exist on type 'never'.
6	utils/hooks.ts :: TS2339 :: Property 'decision' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'durationMs' does not exist on type 'unknown'.
1	utils/hooks.ts :: TS2339 :: Property 'error' does not exist on type '{ ok: true; value: string; } | { ok: false; error: any; }'.
5	utils/hooks.ts :: TS2339 :: Property 'hookEventName' does not exist on type 'unknown'.
3	utils/hooks.ts :: TS2339 :: Property 'hookSpecificOutput' does not exist on type 'never'.
1	utils/hooks.ts :: TS2339 :: Property 'initialUserMessage' does not exist on type 'unknown'.
5	utils/hooks.ts :: TS2339 :: Property 'permissionDecision' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'permissionDecisionReason' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'reason' does not exist on type 'never'.
1	utils/hooks.ts :: TS2339 :: Property 'retry' does not exist on type 'unknown'.
1	utils/hooks.ts :: TS2339 :: Property 'suppressOutput' does not exist on type 'never'.
1	utils/hooks.ts :: TS2339 :: Property 'systemMessage' does not exist on type 'never'.
4	utils/hooks.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'updatedInput' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2339 :: Property 'updatedMCPToolOutput' does not exist on type 'unknown'.
1	utils/hooks.ts :: TS2339 :: Property 'worktreePath' does not exist on type 'unknown'.
2	utils/hooks.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
16	utils/hooks.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
2	utils/hooks.ts :: TS2367 :: This comparison appears to be unintentional because the types '"hook_result"' and '"attachment"' have no overlap.
1	utils/hooks.ts :: TS2740 :: Type '{}' is missing the following properties from type 'string[]': length, pop, push, concat, and 29 more.
1	utils/hooks/apiQueryHookHelper.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	utils/hooks/apiQueryHookHelper.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	utils/hooks/AsyncHookRegistry.ts :: TS2322 :: Type 'unknown' is not assignable to type 'number'.
2	utils/hooks/execAgentHook.ts :: TS2322 :: Type 'AttachmentMessage' is not assignable to type 'HookResultMessage'.
1	utils/hooks/execAgentHook.ts :: TS2339 :: Property 'data' does not exist on type 'unknown'.
1	utils/hooks/execAgentHook.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	utils/hooks/execAgentHook.ts :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"' and '"stream_request_start"' have no overlap.
4	utils/hooks/execPromptHook.ts :: TS2322 :: Type 'AttachmentMessage' is not assignable to type 'HookResultMessage'.
1	utils/hooks/execPromptHook.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	utils/hooks/skillImprovement.ts :: TS2339 :: Property 'text' does not exist on type 'never'.
1	utils/hooks/skillImprovement.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	utils/listSessionsImpl.ts :: TS2550 :: Property 'findLast' does not exist on type 'string[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	utils/log.ts :: TS2322 :: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
1	utils/log.ts :: TS2345 :: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
1	utils/mcp/dateTimeParser.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
1	utils/mcpInstructionsDelta.ts :: TS2339 :: Property 'addedNames' does not exist on type 'unknown'.
1	utils/mcpInstructionsDelta.ts :: TS2339 :: Property 'removedNames' does not exist on type 'unknown'.
1	utils/mcpInstructionsDelta.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	utils/messageQueueManager.ts :: TS1360 :: Type 'string[]' does not satisfy the expected type '"task-notification"'.
1	utils/messageQueueManager.ts :: TS2345 :: Argument of type '"popAll"' is not assignable to parameter of type 'QueueOperation'.
1	utils/messageQueueManager.ts :: TS2769 :: No overload matches this call.
2	utils/messages.ts :: TS2315 :: Type 'AttachmentMessage' is not generic.
1	utils/messages.ts :: TS2315 :: Type 'NormalizedAssistantMessage' is not generic.
1	utils/messages.ts :: TS2315 :: Type 'ProgressMessage' is not generic.
1	utils/messages.ts :: TS2322 :: Type '(MessageContentBlock | ContentBlockParam)[]' is not assignable to type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2322 :: Type '(string | MessageContentBlock)[]' is not assignable to type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2322 :: Type '(TextBlockParam | ImageBlockParam | DocumentBlockParam | SearchResultBlockParam | ThinkingBlockParam | ... 6 more ... | WebSearchToolResultBlock)[]' is not assignable to type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2322 :: Type '(UserMessage | AssistantMessage | { message: { content: ContentBlockParam[]; role?: string; }; uuid?: string; parentUuid?: string; sessionId?: string; ... 7 more ...; toolUseResult?: unknown; })[]' is not assignable to type '(UserMessage | AssistantMessage)[]'.
1	utils/messages.ts :: TS2322 :: Type '{ logicalParentUuid: `${string}-${string}-${string}-${string}-${string}`; type: "system"; subtype: "compact_boundary"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; compactMetadata: { ...; }; }' is not assignable to type 'SystemCompactBoundaryMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ preventContinuation: true; type: "system"; subtype: "informational"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; toolUseID: string; level: SystemMessageLevel; }' is not assignable to type 'SystemInformationalMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "agents_killed"; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' is not assignable to type 'SystemAgentsKilledMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "api_error"; level: string; cause: Error; error: APIError<number, Headers, Object>; retryInMs: number; retryAttempt: number; maxRetries: number; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' is not assignable to type 'SystemAPIErrorMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "api_metrics"; ttftMs: number; otps: number; isP50: boolean; hookDurationMs: number; turnDurationMs: number; toolDurationMs: number; classifierDurationMs: number; ... 6 more ...; isMeta: false; }' is not assignable to type 'SystemApiMetricsMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "away_summary"; content: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' is not assignable to type 'SystemAwaySummaryMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "bridge_status"; content: string; url: string; upgradeNudge: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' is not assignable to type 'SystemBridgeStatusMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "local_command"; content: string; level: string; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' is not assignable to type 'SystemLocalCommandMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "memory_saved"; writtenPaths: string[]; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' is not assignable to type 'SystemMemorySavedMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "microcompact_boundary"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; level: string; microcompactMetadata: { trigger: "auto"; preTokens: number; tokensSaved: number; compactedToolIds: string[]; clearedAttachmentUUIDs: string[...' is not assignable to type 'SystemMicrocompactBoundaryMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "permission_retry"; content: string; commands: string[]; level: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' is not assignable to type 'SystemPermissionRetryMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "scheduled_task_fire"; content: string; isMeta: false; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; }' is not assignable to type 'SystemScheduledTaskFireMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "stop_hook_summary"; hookCount: number; hookInfos: StopHookInfo[]; hookErrors: string[]; preventedContinuation: boolean; stopReason: string; hasOutput: boolean; ... 5 more ...; totalDurationMs: number; }' is not assignable to type 'SystemStopHookSummaryMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "system"; subtype: "turn_duration"; durationMs: number; budgetTokens: number; budgetLimit: number; budgetNudges: number; messageCount: number; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; isMeta: false; }' is not assignable to type 'SystemTurnDurationMessage'.
1	utils/messages.ts :: TS2322 :: Type '{ type: "tool_use_summary"; summary: string; precedingToolUseIds: string[]; uuid: `${string}-${string}-${string}-${string}-${string}`; timestamp: string; }' is not assignable to type 'ToolUseSummaryMessage'.
1	utils/messages.ts :: TS2322 :: Type 'BetaContentBlock[]' is not assignable to type 'string | MessageContentBlock[]'.
2	utils/messages.ts :: TS2322 :: Type 'boolean' is not assignable to type 'true'.
3	utils/messages.ts :: TS2322 :: Type 'ContentBlockParam[]' is not assignable to type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2322 :: Type 'MessageContentBlock' is not assignable to type 'string | ContentBlockParam'.
1	utils/messages.ts :: TS2322 :: Type 'MessageContentBlock[]' is not assignable to type '(ContentBlockParam | ContentBlock)[]'.
1	utils/messages.ts :: TS2322 :: Type 'string | ContentBlockParam[]' is not assignable to type 'string | MessageContentBlock[]'.
2	utils/messages.ts :: TS2322 :: Type 'string | MessageContentBlock' is not assignable to type 'object'.
2	utils/messages.ts :: TS2322 :: Type 'string | number' is not assignable to type 'string'.
1	utils/messages.ts :: TS2322 :: Type 'unknown' is not assignable to type 'number'.
1	utils/messages.ts :: TS2322 :: Type 'unknown' is not assignable to type 'object'.
3	utils/messages.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string | ContentBlockParam[]'.
4	utils/messages.ts :: TS2322 :: Type 'unknown' is not assignable to type 'string'.
1	utils/messages.ts :: TS2322 :: Type 'unknown' is not assignable to type 'true'.
3	utils/messages.ts :: TS2339 :: Property 'content_block' does not exist on type 'unknown'.
4	utils/messages.ts :: TS2339 :: Property 'delta' does not exist on type 'unknown'.
5	utils/messages.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2339 :: Property 'find' does not exist on type 'string | MessageContentBlock[]'.
8	utils/messages.ts :: TS2339 :: Property 'hookEvent' does not exist on type 'unknown'.
5	utils/messages.ts :: TS2339 :: Property 'id' does not exist on type 'string | MessageContentBlock'.
2	utils/messages.ts :: TS2339 :: Property 'index' does not exist on type 'unknown'.
2	utils/messages.ts :: TS2339 :: Property 'is_error' does not exist on type 'string | MessageContentBlock'.
3	utils/messages.ts :: TS2339 :: Property 'map' does not exist on type 'string | MessageContentBlock[]'.
1	utils/messages.ts :: TS2339 :: Property 'SNIP_NUDGE_TEXT' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/services/compact/snipCompact")'.
3	utils/messages.ts :: TS2339 :: Property 'some' does not exist on type 'string | MessageContentBlock[]'.
8	utils/messages.ts :: TS2339 :: Property 'tool_use_id' does not exist on type 'string | MessageContentBlock'.
5	utils/messages.ts :: TS2339 :: Property 'toolUseID' does not exist on type 'unknown'.
1	utils/messages.ts :: TS2339 :: Property 'trim' does not exist on type 'string | (TextBlockParam | ImageBlockParam | DocumentBlockParam | SearchResultBlockParam)[]'.
12	utils/messages.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
13	utils/messages.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	utils/messages.ts :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'ContentBlockParam | BetaContentBlock | ContentBlock'.
1	utils/messages.ts :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'ContentBlockParam'.
1	utils/messages.ts :: TS2345 :: Argument of type 'MessageContentBlock' is not assignable to parameter of type 'TextBlockParam'.
3	utils/messages.ts :: TS2345 :: Argument of type 'MessageContentBlock[]' is not assignable to parameter of type 'readonly ContentBlockParam[]'.
1	utils/messages.ts :: TS2345 :: Argument of type 'MessagePayload' is not assignable to parameter of type 'Message'.
2	utils/messages.ts :: TS2345 :: Argument of type 'string | MessageContentBlock' is not assignable to parameter of type 'ContentBlockParam | BetaContentBlock | ContentBlock'.
1	utils/messages.ts :: TS2345 :: Argument of type 'string | MessageContentBlock' is not assignable to parameter of type 'ToolUseBlockParam'.
4	utils/messages.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'string | ContentBlockParam[]'.
1	utils/messages.ts :: TS2345 :: Argument of type 'string | MessageContentBlock[]' is not assignable to parameter of type 'string | readonly ({ readonly text: string; readonly type: "text"; readonly cache_control?: { readonly type: "ephemeral"; readonly ttl?: "5m" | "1h"; }; readonly citations?: readonly ({ readonly cited_text: string; ... 4 more ...; readonly type: "char_location"; } | { ...; } | { ...; } | { ...; } | { ...; })[]; } | ...'.
3	utils/messages.ts :: TS2345 :: Argument of type 'string' is not assignable to parameter of type '`${string}-${string}-${string}-${string}-${string}`'.
1	utils/messages.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'Attachment'.
12	utils/messages.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
2	utils/messages.ts :: TS2345 :: Argument of type 'UserMessage | AssistantMessage | SystemMessage | AttachmentMessage' is not assignable to parameter of type 'AttachmentMessage'.
2	utils/messages.ts :: TS2352 :: Conversion of type 'MessageContentBlock' to type '{ tool_use_id: string; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
2	utils/messages.ts :: TS2352 :: Conversion of type 'MessageContentBlock' to type 'ToolResultBlockParam' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
2	utils/messages.ts :: TS2352 :: Conversion of type 'string | MessageContentBlock' to type '{ id: string; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	utils/messages.ts :: TS2352 :: Conversion of type 'string | MessageContentBlock' to type '{ tool_use_id: string; content: { type: string; }; }' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	utils/messages.ts :: TS2352 :: Conversion of type 'string | MessageContentBlock' to type 'ToolUseBlockParam' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
1	utils/messages.ts :: TS2353 :: Object literal may only specify known properties, and 'inference_geo' does not exist in type 'BetaUsage'.
1	utils/messages.ts :: TS2367 :: This comparison appears to be unintentional because the types '"stream_event"' and '"stream_request_start"' have no overlap.
1	utils/messages.ts :: TS2367 :: This comparison appears to be unintentional because the types '"user" | "assistant" | "system" | "tool_use_summary" | "progress" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use" | "collapsed_read_search_group" | "request_start"' and '"stream_request_start"' have no overlap.
1	utils/messages.ts :: TS2550 :: Property 'findLast' does not exist on type 'Message[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
1	utils/messages.ts :: TS2550 :: Property 'findLastIndex' does not exist on type 'ContentBlockParam[]'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2023' or later.
3	utils/messages.ts :: TS2677 :: A type predicate's type must be assignable to its parameter's type.
1	utils/messages/mappers.ts :: TS2322 :: Type '{ input: { plan: string; }; type: string; text?: string; }' is not assignable to type 'BetaContentBlock'.
1	utils/messages/mappers.ts :: TS2322 :: Type 'BetaContentBlock[]' is not assignable to type 'string | MessageContentBlock[]'.
2	utils/messages/mappers.ts :: TS2322 :: Type 'MessageContentBlock' is not assignable to type 'BetaContentBlock'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'anchorUuid' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'headUuid' does not exist on type 'unknown'.
2	utils/messages/mappers.ts :: TS2339 :: Property 'includes' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'pre_tokens' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'preserved_segment' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'tailUuid' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2339 :: Property 'trigger' does not exist on type 'unknown'.
1	utils/messages/mappers.ts :: TS2345 :: Argument of type '(this: undefined, message: { readonly [x: string]: unknown; readonly type: string; readonly subtype?: string; readonly uuid?: string; readonly session_id?: string; readonly request_id?: string; readonly message?: { readonly [x: string]: unknown; readonly role?: string; readonly content?: string | readonly { ...; }[]...' is not assignable to parameter of type '(this: undefined, value: { readonly [x: string]: unknown; readonly type: string; readonly subtype?: string; readonly uuid?: string; readonly session_id?: string; readonly request_id?: string; readonly message?: { readonly [x: string]: unknown; readonly role?: string; readonly content?: string | readonly { ...; }[]; ...'.
1	utils/messages/mappers.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'CompactMetadata'.
1	utils/messages/mappers.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	utils/model/model.ts :: TS2304 :: Cannot find name 'getAntModelOverrideConfig'.
2	utils/model/model.ts :: TS2304 :: Cannot find name 'resolveAntModel'.
1	utils/model/modelOptions.ts :: TS2304 :: Cannot find name 'getAntModels'.
1	utils/modelCost.ts :: TS2339 :: Property 'speed' does not exist on type 'BetaUsage'.
1	utils/mtls.ts :: TS2307 :: Cannot find module 'undici' or its corresponding type declarations.
1	utils/notebook.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string | string[]'.
1	utils/permissions/classifierDecision.ts :: TS2551 :: Property 'OVERFLOW_TEST_TOOL_NAME' does not exist on type 'typeof import("/usr/local/develop/open-source/claude-code/tools/OverflowTestTool/OverflowTestTool")'. Did you mean 'OverflowTestTool'?
1	utils/permissions/filesystem.ts :: TS2339 :: Property 'classifierApprovable' does not exist on type '{ safe: true; } | { safe: false; message: string; classifierApprovable: boolean; }'.
2	utils/permissions/filesystem.ts :: TS2339 :: Property 'message' does not exist on type '{ safe: true; } | { safe: false; message: string; classifierApprovable: boolean; }'.
1	utils/permissions/pathValidation.ts :: TS2339 :: Property 'classifierApprovable' does not exist on type '{ safe: true; } | { safe: false; message: string; classifierApprovable: boolean; }'.
1	utils/permissions/pathValidation.ts :: TS2339 :: Property 'message' does not exist on type '{ safe: true; } | { safe: false; message: string; classifierApprovable: boolean; }'.
2	utils/permissions/pathValidation.ts :: TS2345 :: Argument of type 'unknown' is not assignable to parameter of type 'string'.
1	utils/permissions/permissionExplainer.ts :: TS2339 :: Property 'filter' does not exist on type 'string | MessageContentBlock[]'.
2	utils/permissions/permissions.ts :: TS2345 :: Argument of type 'import("/usr/local/develop/open-source/claude-code/entrypoints/sdk/coreTypes.generated").PermissionUpdate[]' is not assignable to parameter of type 'import("/usr/local/develop/open-source/claude-code/types/permissions").PermissionUpdate[]'.
1	utils/permissions/yoloClassifier.ts :: TS2339 :: Property 'input' does not exist on type 'string | MessageContentBlock'.
1	utils/permissions/yoloClassifier.ts :: TS2339 :: Property 'name' does not exist on type 'string | MessageContentBlock'.
1	utils/permissions/yoloClassifier.ts :: TS2339 :: Property 'prompt' does not exist on type 'unknown'.
1	utils/permissions/yoloClassifier.ts :: TS2339 :: Property 'type' does not exist on type 'string | MessageContentBlock'.
1	utils/permissions/yoloClassifier.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
1	utils/plans.ts :: TS2322 :: Type '{ type: "system"; subtype: "file_snapshot"; content: string; level: string; isMeta: true; timestamp: string; uuid: `${string}-${string}-${string}-${string}-${string}`; snapshotFiles: unknown; }' is not assignable to type 'SystemFileSnapshotMessage'.
1	utils/plans.ts :: TS2339 :: Property 'length' does not exist on type 'unknown'.
1	utils/plans.ts :: TS2339 :: Property 'push' does not exist on type 'unknown'.
1	utils/plans.ts :: TS2339 :: Property 'type' does not exist on type 'unknown'.
2	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'allowedTools' does not exist on type 'unknown'.
2	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'argumentHint' does not exist on type 'unknown'.
2	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'content' does not exist on type 'unknown'.
2	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'description' does not exist on type 'unknown'.
2	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'model' does not exist on type 'unknown'.
3	utils/plugins/loadPluginCommands.ts :: TS2339 :: Property 'source' does not exist on type 'unknown'.
1	utils/plugins/lspPluginIntegration.ts :: TS2305 :: Module '"../../services/lsp/types.js"' has no exported member 'LspServerConfig'.
1	utils/plugins/marketplaceManager.ts :: TS2322 :: Type '{ [x: string]: { source?: { source: "url"; url: string; headers?: Record<string, string>; } | { source: "github"; repo: string; ref?: string; path?: string; sparsePaths?: string[]; } | { source: "git"; url: string; ref?: string; path?: string; sparsePaths?: string[]; } | ... 5 more ... | { ...; }; installLocation?: ...' is not assignable to type 'Record<string, DeclaredMarketplace>'.
